 Welcome to HYDRUS                                                       
 
 Program HYDRUS2
 Date:   6. 2.2018    Time:  15: 0:30
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = min  , M = mmol 
 

 Boundary length [L] associated with different types of boundary conditions

 Variable head or flux 1 boundary: 0.6916703E+01
 Atmospheric boundary:             0.6422225E+02
 Free or deep drainage boundary:   0.7000001E+02


 Time:           15.0000

    i      n      x        z    Code       Q            v           h        th      Temp  Conc(1-NS)   Qc(1-NS)
                 [L]      [L]            [V/T]        [L/T]        [L]      [-]       [C]    [M/L3]    [VM/T.L3]

   22     22     14.7   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   23     23     11.1   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   24     24      7.4   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   25     25      3.7   -125.0   -6 -0.35215E-01  0.95583E-02     -10.21  0.210     20.00
   26     94     36.0     -0.1   -3  0.60495E-01 -0.42400E+00      -1.33  0.427     20.00
   27     95     36.0     -0.3   -3  0.60495E-01 -0.42400E+00      -1.50  0.426     20.00
   28     96     35.9     -0.4   -3  0.60495E-01 -0.42400E+00      -1.67  0.425     20.00
   29     97     35.8     -0.5   -3  0.60496E-01 -0.42400E+00      -1.82  0.423     20.00
   30     98     35.8     -0.7   -3  0.60495E-01 -0.42400E+00      -1.95  0.422     20.00
   31     99     35.7     -0.8   -3  0.60495E-01 -0.42400E+00      -2.05  0.421     20.00
   32    100     35.5     -0.8   -3  0.60496E-01 -0.42400E+00      -2.13  0.420     20.00
   33    101     35.4     -0.9   -3  0.60495E-01 -0.42400E+00      -2.20  0.419     20.00
   34    102     35.3     -1.0   -3  0.60495E-01 -0.42400E+00      -2.24  0.418     20.00
   35    103     35.1     -1.0   -3  0.60496E-01 -0.42400E+00      -2.27  0.418     20.00
   36    104     34.9     -1.0   -3  0.60496E-01 -0.42400E+00      -2.27  0.418     20.00
   37    105     34.7     -1.0   -3  0.60495E-01 -0.42400E+00      -2.24  0.418     20.00
   38    106     34.6     -0.9   -3  0.60495E-01 -0.42400E+00      -2.20  0.419     20.00
   39    107     34.5     -0.8   -3  0.60496E-01 -0.42400E+00      -2.13  0.420     20.00
   40    108     34.3     -0.8   -3  0.60495E-01 -0.42400E+00      -2.05  0.421     20.00
   41    109     34.2     -0.7   -3  0.60495E-01 -0.42400E+00      -1.95  0.422     20.00
   42    110     34.2     -0.5   -3  0.60496E-01 -0.42400E+00      -1.82  0.423     20.00
   43    111     34.1     -0.4   -3  0.60495E-01 -0.42400E+00      -1.68  0.425     20.00
   44    112     34.0     -0.3   -3  0.60495E-01 -0.42400E+00      -1.52  0.426     20.00
   45    113     34.0     -0.1   -3  0.60495E-01 -0.42400E+00      -1.37  0.427     20.00
   46    114     39.8      0.0   -4  0.00000E+00  0.00000E+00      -7.05  0.290     20.00
   47    115     43.6      0.0   -4  0.00000E+00  0.00000E+00      -9.81  0.219     20.00
   48    116     47.3      0.0   -4  0.00000E+00  0.00000E+00     -12.39  0.173     20.00
   49    117     51.1      0.0   -4  0.00000E+00  0.00000E+00     -14.82  0.144     20.00
   50    118     54.9      0.0   -4  0.00000E+00  0.00000E+00     -16.57  0.130     20.00
   51    119     58.7      0.0   -4  0.00000E+00  0.00000E+00     -17.27  0.124     20.00
   52    120     62.4      0.0   -4  0.00000E+00  0.00000E+00     -17.36  0.123     20.00
