Material,theta,h,log_h,C,K,log_K,S
3,0.3,-0.0231,-1.636,0.0,2.0,0.301,1.0
3,0.3,-0.0266,-1.5759999999999998,0.0,2.0,0.301,1.0
3,0.3,-0.0305,-1.515,0.0,2.0,0.301,1.0
3,0.3,-0.0351,-1.455,0.0,2.0,0.301,1.0
3,0.3,-0.0404,-1.3940000000000001,0.0,2.0,0.301,1.0
3,0.3,-0.0464,-1.3330000000000002,0.0,2.0,0.301,1.0
3,0.3,-0.0534,-1.273,0.0,2.0,0.301,1.0
3,0.3,-0.0614,-1.212,0.0,2.0,0.301,1.0
3,0.3,-0.0705,-1.1520000000000001,0.0,2.0,0.301,1.0
3,0.3,-0.0811,-1.091,0.0,2.0,0.301,1.0
3,0.3,-0.0933,-1.03,0.0,2.0,0.301,1.0
3,0.3,-0.107,-0.9697,0.0,2.0,0.301,1.0
3,0.3,-0.12300000000000001,-0.9091,0.0,2.0,0.301,1.0
3,0.3,-0.142,-0.8485,0.0,2.0,0.301,1.0
3,0.3,-0.163,-0.7879,0.0,2.0,0.301,1.0
3,0.3,-0.187,-0.7273,0.0,2.0,0.301,1.0
3,0.3,-0.215,-0.6667,0.0,2.0,0.301,1.0
3,0.3,-0.248,-0.6061,0.0,2.0,0.301,1.0
3,0.3,-0.285,-0.5455,0.0,2.0,0.301,1.0
3,0.3,-0.327,-0.4848,0.0,2.0,0.301,1.0
3,0.3,-0.376,-0.4242,0.0,2.0,0.301,1.0
3,0.3,-0.433,-0.3636,0.0,2.0,0.301,1.0
3,0.3,-0.498,-0.303,0.0,2.0,0.301,1.0
3,0.3,-0.5720000000000001,-0.2424,0.0,2.0,0.301,1.0
3,0.3,-0.6579999999999999,-0.1818,0.0,2.0,0.301,1.0
3,0.3,-0.7559999999999999,-0.1212,0.0,2.0,0.301,1.0
3,0.3,-0.87,-0.060610000000000004,0.0,2.0,0.301,1.0
3,0.3,-1.0,0.0,0.0,2.0,0.301,1.0
3,0.3,-1.15,0.060610000000000004,0.0,2.0,0.301,1.0
3,0.3,-1.32,0.1212,0.0,2.0,0.301,1.0
3,0.3,-1.52,0.1818,0.0,2.0,0.301,1.0
3,0.3,-1.75,0.2424,0.0,2.0,0.301,1.0
3,0.2999,-2.01,0.303,0.009156999999999998,1.995,0.3,0.9997
3,0.2968,-2.31,0.3636,0.01137,1.8430000000000002,0.2656,0.9891
3,0.2924,-2.66,0.4242,0.01396,1.663,0.221,0.974
3,0.2863,-3.05,0.4848,0.01684,1.456,0.1631,0.9528
3,0.2779,-3.51,0.5455,0.01985,1.226,0.08855,0.9238
3,0.2667,-4.04,0.6061,0.02271,0.9842,-0.006901999999999999,0.8851
3,0.2522,-4.64,0.6667,0.02497,0.7455,-0.1276,0.8352
3,0.2344,-5.34,0.7273,0.026180000000000002,0.5278,-0.2775,0.7737
3,0.2134,-6.14,0.7879,0.02598,0.3468,-0.4599,0.7015
3,0.1902,-7.05,0.8485,0.02429,0.2108,-0.6761,0.6215
3,0.166,-8.11,0.9091,0.02141,0.1187,-0.9254,0.5381
3,0.1422,-9.33,0.9697,0.01785,0.06238,-1.205,0.4559
3,0.1199,-10.7,1.03,0.014169999999999999,0.03085,-1.511,0.3791
3,0.1,-12.3,1.091,0.01082,0.014530000000000001,-1.838,0.3103
3,0.0828,-14.2,1.1520000000000001,0.007998,0.006589,-2.181,0.2509
3,0.0683,-16.3,1.212,0.005776,0.002903,-2.537,0.2011
3,0.0564,-18.7,1.273,0.0041,0.001253,-2.9019999999999997,0.16
3,0.0468,-21.5,1.3330000000000002,0.002874,0.0005323999999999999,-3.2739999999999996,0.1268
3,0.039,-24.8,1.3940000000000001,0.001997,0.0002239,-3.65,0.1001
3,0.0328,-28.5,1.455,0.001379,9.349e-05,-4.029,0.0788
3,0.028,-32.7,1.515,0.0009482999999999999,3.884e-05,-4.4110000000000005,0.0619
3,0.0241,-37.6,1.5759999999999998,0.0006502000000000001,1.608e-05,-4.794,0.0486
3,0.0211,-43.3,1.636,0.00044489999999999997,6.6389999999999995e-06,-5.178,0.0382
3,0.0187,-49.8,1.6969999999999998,0.000304,2.737e-06,-5.563,0.0299
3,0.0168,-57.2,1.758,0.00020750000000000003,1.127e-06,-5.9479999999999995,0.0235
3,0.0153,-65.8,1.818,0.0001416,4.638e-07,-6.334,0.0184
3,0.0142,-75.6,1.879,9.655e-05,1.907e-07,-6.72,0.0144
3,0.0133,-87.0,1.939,6.582e-05,7.841e-08,-7.106,0.0113
3,0.0126,-100.0,2.0,4.486e-05,3.2230000000000005e-08,-7.492000000000001,0.0088
3,0.012,-115.0,2.061,3.057e-05,1.3240000000000001e-08,-7.877999999999999,0.0069
3,0.0116,-132.0,2.121,2.083e-05,5.442e-09,-8.264,0.0054
3,0.0112,-152.0,2.182,1.42e-05,2.236e-09,-8.651,0.0043
3,0.011,-175.0,2.242,9.673e-06,9.187e-10,-9.037,0.0033
3,0.0108,-201.0,2.303,6.59e-06,3.7739999999999996e-10,-9.423,0.0026
3,0.0106,-231.0,2.364,4.49e-06,1.5509999999999999e-10,-9.809,0.002
3,0.0105,-266.0,2.424,3.059e-06,6.370000000000001e-11,-10.2,0.0016
3,0.0104,-305.0,2.485,2.084e-06,2.617e-11,-10.58,0.0013
3,0.0103,-351.0,2.545,1.42e-06,1.075e-11,-10.97,0.001
